SL.NO,Sub_Assy_part_No,REV_NO,Child_Part_No,Part_Name,801033002,Quantity,801033007,801033001S,801033006S,801032566,801032563,801032568,801032569,801032562,801032539,801032537,801032531,801032529,801032525,801032519,801032510,801033008,801032573,801032595,801032608,801032511,801032589,801032614S,801032612S,801032598,801032618,801032603,801023089,801032597,801032627S,801032638,801032625,801032619,801032601,801032652S,801032651S,801032656S,801032662,801032658S,801032665,801032697S,801032605S,801032632S,801032694,801212223,801032719S,"801032787S - WIRED RACK , 93E 500KVA Busbar Panel, O/S","801032641S - WIR RACK,93E 200KVA MBS INT O/P TRX- O/S","801032630S - WIRED RACK, 93E 160KVA MBS Int Trx-O/S","801033052S - WR, 93E 160KVA MBS, I/P Int Trx, K13, O/","801033054S - WIR RCK,93E100kVA MBS INT TRX Cu,K13,O/S","801033056S - WR ,93E 160KVA MBS,I/P Trx,W/t Trx MBS","801033057S - WR 93E, 80 kVA, MBS, IT42 TRX MBS Datson","801033059S - WR,93E 160KVA MBS,I/P Trx,W/t Trx MBS OS",Surface_Finish,Material,Qty_In_Drawing,Thickness,Width,Length,Blank_Wt,Powder_Coating_Area,Powder_Usage_in_Kgs,Assembly/Sub_part,commodity,Source,Wire_Rack/Non_Wire Rack_Parts,Revion_No,Revision_Details,Tapping,No.Of_Bends,Clinching /Riveting,Welding,METAL_STAMP ,POWDER_COATING,,,,,,,
0,0,0,SE-FH M6-10,Stud  M6X10,16,0,32,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,32,16,,0,MS,4,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Non Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,0,0,SE-S M6-1,Clinch Nut M6-1.5mm(Zinc Blue Platting),12,0,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,24,12,,0,MS,3,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Non Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,0,0,POP CSK 3.2X8-SS,CSK POP Revit Dia3.2X8-SS,16,0,32,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,32,16,,0,SS,4,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Non Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
82,373-54116,0,0,FIXTURE PLATE (AL-1),16,6,0,16,6,6,14,14,0,6,14,14,6,14,0,0,14,0,14,6,6,6,0,14,0,14,0,0,14,14,0,0,0,0,6,0,0,0,0,14,6,0,0,0,#N/A,0,,,,,,14,,14,,0,H32-5052,1,3.00,82.00,52.00,0.03,0.00,0.00,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,1,Y,0,Y,0,0,0,0,,,,
0,0,0,SE-S M6-2,Clinch Nut M6-3.0mm(Zinc Blue Platting),32,12,0,32,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,28,,28,,0,MS,2,3.00,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
83,373-54117,1,0,FIXTURE PLATE (AL-2),8,0,0,0,0,0,7,7,0,0,7,7,0,7,0,0,7,0,7,0,0,0,0,7,0,7,0,0,7,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,#N/A,0,,,,,,7,,7,,0,H32-5052,1,3.00,103.50,45.00,0.04,0.00,0.00,Assembly,Sheet Metal,ACE,Wire Rack Parts,Removed on 01.12.2014,0,0,1,Y,0,Y,0,0,0,0,,,,
0,0,0,SE-S M6-2,Clinch Nut M6-3.0mm(Zinc Blue Platting),24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,21,,21,,0,MS,3,3.00,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
84,373-54118,0,0,FIXTURE PLATE (FOR WIRE S),1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,#N/A,0,,,,,,1,,1,,0,SGCC,1,1.20,50.80,540.00,0.26,0.00,0.00,Non-Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,2,0,0,Y,0,0,0,0,,,,
85,801221236,C,0,DOOR  ( part -1),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,0,1,1,#N/A,0,,,,,,,1,1,,EN327N,SGCC,1,1.20,692.25,1927.70,12.57,2.67,0.59,Sub Parts,Sheet Metal,ACE,Non Wire Rack Parts,part no (373-54119)  changed to 801221236,0,Y,16,Y,Y,Y,Y,0,0,0,,,,
0,0,0,801221236-Part2,Part-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,EN327N,SGCC,1,1.20,450.34,151.00,0.64,0.14,0.03,Sub Parts,Sheet Metal,ACE,Non Wire Rack Parts,0,0,Y,6,Y,Y,0,Y,0,0,0,,,,
0,0,0,801221236-Part3,Part-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,EN327N,SGCC,6,1.00,375.00,15.00,0.04,0.01,0.00,Sub Parts,Sheet Metal,ACE,Non Wire Rack Parts,0,0,0,0,0,0,0,Y,0,0,0,,,,
0,0,0,801221236-Part4,Part-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,EN327N,SGCC,2,1.00,1200.00,15.00,0.14,0.04,0.01,Sub Parts,Sheet Metal,ACE,Non Wire Rack Parts,0,0,0,0,0,0,0,Y,0,0,0,,,,
0,0,0,801221236-Part5,Part-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,EN327N,SGCC,3,1.00,416.34,12.00,0.04,0.01,0.00,Sub Parts,Sheet Metal,ACE,Non Wire Rack Parts,0,0,0,2,0,0,0,Y,0,0,0,,,,
0,0,0,801221236-Part6,Part-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,EN327N,SGCC,1,2.00,1820.70,62.80,1.80,0.23,0.05,Sub Parts,Sheet Metal,ACE,Non Wire Rack Parts,0,0,0,2,Y,Y,0,Y,0,0,0,,,,
0,0,0,SE-FH M4-10,Stud  M4X10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,1,2.00,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Non Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,0,0,SE-FH M4-15,Stud  M4X15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,24,2.00,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Non Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,0,0,POP CSK 3.2X8-SS,CSK POP Revit Dia3.2X8-SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,SS,8,2.00,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Non Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,0,0,CL 248-2,Hinge CL 248-2,3,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3,3,,0,MS,3,2.00,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,Arihant,Non Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,801221236-pt-3,0,0,plate-1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,6,,EN327N,SGCC,1,1.00,15.00,375.00,0.04,0.01,0.00,Sub Parts,Sheet Metal,ace,Non Wire Rack Parts,part no (373-54119)  changed to 801221236,0,0,0,0,0,0,0,0,0,0,,,,
0,801221236-pt-4,0,0,plate-2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,2,,EN327N,SGCC,1,1.00,15.00,1200.00,0.14,0.04,0.00,Sub Parts,Sheet Metal,ace,Non Wire Rack Parts,part no (373-54119)  changed to 801221236,0,0,0,0,0,0,0,0,0,0,,,,
0,801221236-pt-5,0,0,plate-3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,3,,EN327N,SGCC,1,1.00,15.00,415.60,0.05,0.01,0.00,Sub Parts,Sheet Metal,ace,Non Wire Rack Parts,part no (373-54119)  changed to 801221236,0,0,0,0,0,0,0,0,0,0,,,,
0,801221236-pt-6,0,0,plate-4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,EN327N,SGCC,1,2.00,62.80,1820.00,1.79,0.23,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
86,373-54120,0,0,MAINTAIN SW COVER PLATE (N),0,0,0,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,#N/A,0,,,,,,1,,1,,0,SGCC,1,1.00,80.00,120.00,0.08,0.00,0.00,Non-Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,9,0,0,Y,0,0,0,0,,,,
87,373-54121,1,0,FRONT COVER (OPTIONAL-120K),0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,1.20,587.10,808.90,4.47,0.00,0.00,Non-Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,4,0,0,Y,0,0,0,0,,,,
88,373-54122,0,0,MAINTAIN SW COVER PLATE (OP),0,0,0,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,#N/A,0,,,,,,1,,1,,0,SGCC,1,1.20,173.00,210.00,0.34,0.00,0.00,Non-Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,7,0,0,Y,0,0,0,0,,,,
89,373-54123,1,0,FRONT COVER (OPTIONAL-120K),0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,1.20,587.10,808.90,4.47,0.00,0.00,Non-Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,4,0,0,Y,0,0,0,0,,,,
90,373-54131,1,0,FRONT COVER (OPTIONAL-120K),0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,1.20,587.10,823.90,4.56,0.00,0.00,Non-Assembly,Sheet Metal,ACE,Non Wire Rack Parts,Updated on 10.01.2015 - Qty removed in 120KVA MBS,0,0,4,0,0,Y,0,0,0,0,,,,
91,373-54132,01A,0,MAIN FRAME (PM-BAT),0,4,0,0,4,4,0,0,0,4,0,0,4,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,1.50,838.00,588.00,5.80,0.00,0.00,Assembly,Sheet Metal,ACE,Non Wire Rack Parts,Added on 01.12.2014 MBS BOM,0,Y,28,Y,Y,Y,0,0,0,0,,,,
0,0,0,SE-BSO M4-16,Stand Off M4X16 ,0,20,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,5,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Non Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,0,0,SE-FH M4-8,Stud  M4X8,0,28,0,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,7,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Non Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,0,0,SE-FH M6-10,Stud  M6X10,0,16,0,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,4,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Non Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,0,0,SE-FH M6-8,Stud  M6X8,0,12,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,3,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Non Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,0,0,SE-S M6-1,Clinch Nut M6-1.5mm(Zinc Blue Platting),0,12,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,3,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Non Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,0,0,POP CSK 3.2X8-SS,CSK POP Revit Dia3.2X8-SS,0,32,0,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,SS,8,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Non Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
92,373-54133,2,0,SUPPORT PLATE (F-L),0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,1.50,185.00,1864.50,4.06,0.00,0.00,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,7,Y,0,Y,0,0,0,0,,,,
0,0,0,SE-SS M5-1,Clinch Nut M5-1.0mm(Zinc Blue Platting),0,17,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,17,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,0,0,SE-S M6-1,Clinch Nut M6-1.5mm(Zinc Blue Platting),0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,2,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
93,373-54134,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,1.50,185.00,1864.50,4.06,0.00,0.00,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,REV CHANGED 0 TO 1 FOR OILCAP,Y,7,Y,0,Y,0,0,0,0,,,,
0,0,0,SE-SS M5-1,Clinch Nut M5-1.0mm(Zinc Blue Platting),0,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,14,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
94,373-54135,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,1.50,185.00,1864.50,4.06,0.00,0.00,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,REV CHANGED 0 TO 1 FOR OILCAP,Y,7,Y,0,Y,0,0,0,0,,,,
0,0,0,SE-SS M5-1,Clinch Nut M5-1.0mm(Zinc Blue Platting),0,11,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,11,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
95,373-54136,2,0,SUPPORT PLATE(F-R) 1332L EATON,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,1.50,185.00,1864.50,4.06,0.00,0.00,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,PART NO CHANGED FROM 373-54136,Y,7,Y,0,Y,0,0,0,0,,,,
0,0,0,SE-BSO 3.5M3-14,Stand Off M3X14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,7,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,0,0,SE-FH M4-12,Stud  M4X12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,10,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
96,373-54137,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,2.00,673.10,855.70,9.04,0.00,0.00,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,32,Y,0,Y,0,0,0,0,,,,
0,0,0,SE-SS M5-2,Clinch Nut M5-1.5/2.0mm(Zinc Blue Platting),0,27,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,27,2.00,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
97,373-54140,1,0,SUPPORT PLATE (10),0,2,0,0,2,2,0,0,0,2,0,0,2,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,1.50,140.00,220.00,0.36,0.00,0.00,Sub Parts,Sheet Metal,ACE,Wire Rack Parts,0,0,0,6,Y,0,Y,0,0,0,0,,,,
0,0,0,373-54140-part2,0,0,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,H32-5052,2,1.00,105.00,145.00,0.04,0.00,0.00,Sub Parts,Sheet Metal,ACE,Wire Rack Parts,0,0,N,0,N,0,0,0,0,0,0,,,,
0,0,0,SE-SS M5-1,Clinch Nut M5-1.0mm(Zinc Blue Platting),0,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,4,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,0,0,POP CSK 3.2X8-SS,CSK POP Revit Dia3.2X8-SS,0,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,SS,4,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
0,373-54140-1,0,0,support plate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,SGCC,a,1.00,145.00,105.00,0.12,0.00,0.00,Sub Parts,Sheet Metal,ace,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
98,373-54141,0,0,SUPPORT PLATE (11),0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,1.50,45.00,589.60,0.31,0.00,0.00,Non-Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,4,0,0,Y,0,0,0,0,,,,
99,373-54142,1,0,FRONT COVER (DOWN-CB),0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,1.20,585.10,523.00,2.88,0.00,0.00,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,5,Y,0,Y,0,0,0,0,,,,
0,0,0,SE-FH M3-18,Stud  M3X18 ,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,2,1.20,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
100,373-54143,1,0,FIXTURE PLATE(LABLE-CB),0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,1.50,69.00,634.00,0.52,0.00,0.00,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,0,6,Y,0,Y,0,0,0,0,,,,
0,0,0,SE-SS M5-1,Clinch Nut M5-1.0mm(Zinc Blue Platting),0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,4,1.50,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
101,373-54144,1,0,BREAKER FIXED PLATE(CB),0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,2.00,333.00,747.00,3.91,0.00,0.00,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,10,Y,0,Y,0,0,0,0,,,,
0,0,0,SE-FH M6-10,Stud  M6X10,0,0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,0,MS,24,2.00,0.00,0.00,0.00,0.00,0.00,Sub Parts,Fastener,State Ent,Wire Rack Parts,0,0,0,0,0,0,0,0,0,0,0,,,,
102,373-54145,1,0,BREAKER FIXED PLATE(N-CB),0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,,,,,,,,,,0,SGCC,1,1.50,113.00,234.00,0.31,0.00,0.00,Assembly,Sheet Metal,ACE,Wire Rack Parts,0,0,Y,6,Y,0,Y,0,0,0,0,,,,
