SL.NO,Sub_Assy_part_No,REV_NO,Child_Part_No,Part_Name,801033002,Quantity,801033007,801033001S,801033006S,801032566,801032563,801032568,801032569,801032562,801032539,801032537,801032531,801032529,801032525,801032519,801032510,801033008,801032573,801032595,801032608,801032511,801032589,801032614S,801032612S,801032598,801032618,801032603,801023089,801032597,801032627S,801032638,801032625,801032619,801032601,801032652S,801032651S,801032656S,801032662,801032658S,801032665,801032697S,801032605S,801032632S,801032694,801212223,801032719S,"801032787S - WIRED RACK , 93E 500KVA Busbar Panel, O/S","801032641S - WIR RACK,93E 200KVA MBS INT O/P TRX- O/S","801032630S - WIRED RACK, 93E 160KVA MBS Int Trx-O/S","801033052S - WR, 93E 160KVA MBS, I/P Int Trx, K13, O/","801033054S - WIR RCK,93E100kVA MBS INT TRX Cu,K13,O/S","801033056S - WR ,93E 160KVA MBS,I/P Trx,W/t Trx MBS","801033057S - WR 93E, 80 kVA, MBS, IT42 TRX MBS Datson","801033059S - WR,93E 160KVA MBS,I/P Trx,W/t Trx MBS OS",Surface_Finish,Material,Qty_In_Drawing,Thickness,Width,Length,Blank_Wt,Powder_Coating_Area,Powder_Usage_in_Kgs,Assembly/Sub_part,commodity,Source,Wire_Rack/Non_Wire Rack_Parts,Revion_No,Revision_Details,Tapping,No.Of_Bends,Clinching /Riveting,Welding,METAL_STAMP ,POWDER_COATING,,,,,,,
,,,SE-BSO 3.5M3-20,Stand Off M3X20 ,7,0,0,7,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,7,,7,,,MS,7,1.50,,,,,,Sub Parts,Fastener,State Ent,Wire Rack Parts,,,,,,,,,,,,,,,
23,373-53848,2,,FIXTURE PLATE(INDUCTOR2),1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,,0,0,#N/A,0,,,,,,1,,1,,,SGCC,1,1.50,174.50,520.50,1.07,,,Non-Assembly,Sheet Metal,ACE,Wire Rack Parts,,,Y,15,,,Y,,,,,,,,
24,373-53849,5,,SUPPORT PLATE (IFC),1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,,0,0,#N/A,0,,,,,,,,1,,,SGCC,1,1.20,504.60,455.00,2.16,,,Assembly,Sheet Metal,ACE,Non Wire Rack Parts,Added on 01.12.2014 MBS BOM,,,5,Y,,Y,,,,,,,,
,,,SE-BSO 3.5M3-12,Stand Off M3X12-15,15,15,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,15,,,MS,15,1.20,,,,,,Sub Parts,Fastener,State Ent,Non Wire Rack Parts,29.01.2015 -Fasteners has revised  to M3X12  from M3X16,,,,,,,,,,,,,,
,,,SE-FH M4-10,Stud  M4X10,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,1,,,MS,1,1.20,,,,,,Sub Parts,Fastener,State Ent,Non Wire Rack Parts,,,,,,,,,,,,,,,
25,801221349,2,,SUPPORT PLATE (AC-FILTER),1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,,0,0,#N/A,0,,,,,,,,1,,,SGCC,1,1.20,582.00,379.70,2.08,,,Assembly,Sheet Metal,ACE,Non Wire Rack Parts,Added on 01.12.2014 MBS BOM,,,7,Y,,Y,,,,,,,,
,,,SE-BSO 3.5M3-12,Stand Off M3X12 ,16,16,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,16,,,MS,16,1.20,,,,,,Sub Parts,Fastener,State Ent,Non Wire Rack Parts,,,,,,,,,,,,,,,
26,373-53854,4,,FIXTURE PLATE (SPS),1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,,0,0,#N/A,0,,,,,,,,1,,,SGCC,1,1.20,235.00,504.60,1.12,,,Assembly,Sheet Metal,ACE,Non Wire Rack Parts,Added on 01.12.2014 MBS BOM,,,8,Y,,Y,,,,,,,,
,,,SE-BSO 3.5M3-14,Stand Off M3X14,7,7,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,7,,,MS,7,1.20,,,,,,Sub Parts,Fastener,State Ent,Non Wire Rack Parts,,,,,,,,,,,,,,,
27,373-53855,3,,SIDE PLATE (LEFT),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0,,1,1,#N/A,0,,,,,,,1,1,,EN327N,SGCC,1,1.20,813.90,1904.90,14.60,3.10,0.69,Non-Assembly,Sheet Metal,ACE,Non Wire Rack Parts,,,,5,,,Y,Y,,,,,,,
